GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_1355: Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,v_CA16_1364: English,v_CA16_2060: Cantonese,v_CA16_2066: Mandarin,v_CA16_2153: English and non-official language,v_CA16_1916: Punjabi (Panjabi),v_CA16_1937: Persian (Farsi),v_CA16_1973: Korean,"v_CA16_1727: Tagalog (Pilipino, Filipino)"
9330181.12,CT,Surrey,3.49046,2787,1009,953,2785,2010,10,430,150,75,5,20,0
9330181.13,CT,Surrey,1.8873,3664,1525,1488,3665,2950,25,340,150,25,5,55,0
9330181.14,CT,Surrey,1.44862,3749,1629,1593,3640,2975,15,210,150,40,10,45,15
9330181.15,CT,Semiahmoo,1.37134,120,64,58,120,115,0,5,0,0,0,0,0
9330181.16,CT,Surrey,2.27911,5332,2142,2097,5095,4660,20,115,120,35,5,15,5
9330182.01,CT,Surrey,51.24945,5196,1763,1531,5190,3495,45,185,385,870,0,30,0
9330182.02,CT,Surrey,2.65462,6949,2098,2023,6945,5605,25,55,400,515,5,35,45
9330182.03,CT,Surrey,8.14779,3963,1287,1184,3960,2490,40,210,390,470,20,70,40
9330182.04,CT,Surrey,2.25546,1782,558,540,1785,1290,25,115,140,135,0,15,0
9330182.05,CT,Surrey,19.05692,7395,2413,2307,7325,5095,95,210,585,610,10,175,95
9330182.06,CT,Surrey,10.20122,1168,429,393,1170,945,5,25,60,75,0,35,0
9330183.01,CT,Surrey,2.6634,6341,2139,2018,6335,5300,25,25,335,440,0,10,25
9330183.03,CT,Surrey,2.87277,6180,2591,2494,6065,5240,15,25,190,355,5,15,35
9330183.05,CT,Surrey,3.45843,11293,3673,3559,11295,9550,40,135,575,300,5,130,140
9330183.06,CT,Surrey,1.34114,2372,1037,978,2370,2090,20,5,85,70,5,20,20
9330183.07,CT,Surrey,2.54659,6691,2373,2275,6680,5715,45,45,270,385,0,20,10
9330183.08,CT,Surrey,1.30629,8253,3419,3289,8250,7100,40,85,325,80,10,215,75
9330183.09,CT,Surrey,5.89029,12265,4677,4373,12135,9935,55,150,695,265,20,330,95
9330184.02,CT,Surrey,2.62379,7951,3079,2987,7945,5280,30,50,895,785,50,15,170
9330184.06,CT,Surrey,2.64074,10901,3419,3030,10900,4310,25,15,1725,3650,60,15,195
9330184.07,CT,Surrey,1.33489,5501,1994,1917,5495,3210,20,20,595,1160,10,60,50
9330184.08,CT,Surrey,1.27555,5537,1731,1567,5525,2670,0,20,705,1635,15,0,100
9330184.09,CT,Surrey,1.3166,4736,1390,1305,4730,2365,40,35,630,1105,25,10,60
9330184.10,CT,Surrey,1.32954,5190,1583,1464,5190,2315,40,55,775,1390,25,20,65
9330184.11,CT,Surrey,2.60844,9574,2824,2607,9575,4525,60,60,1480,2505,25,10,115
9330184.12,CT,Surrey,1.96801,8362,2679,2443,8245,4220,75,105,1190,1680,65,15,220
9330184.13,CT,Surrey,4.51808,5668,1776,1543,5175,3015,40,65,730,865,45,10,60
9330184.14,CT,Surrey,1.55115,8940,3229,3024,8940,6710,60,155,770,565,35,30,140
9330184.15,CT,Surrey,0.98485,3364,893,869,3360,1545,35,110,425,930,10,5,35
9330184.16,CT,Surrey,1.65294,5860,1678,1598,5840,2790,25,30,750,1765,30,0,60
9330185.05,CT,Surrey,1.33354,5943,1870,1765,5920,2585,30,25,850,1840,30,0,40
9330185.07,CT,Surrey,2.62527,9630,2936,2586,9620,4205,35,40,1515,3125,10,0,90
9330185.08,CT,Surrey,3.69636,1483,460,425,1480,1000,15,35,130,240,0,0,0
9330185.09,CT,Surrey,2.65706,5127,1819,1774,5115,2485,25,35,725,1345,20,5,85
9330185.10,CT,Surrey,1.29478,5894,1683,1496,5880,1635,10,10,990,2380,35,0,25
9330185.11,CT,Surrey,1.32045,7844,2477,2364,7840,2645,30,45,1240,2695,50,5,60
9330185.12,CT,Surrey,1.32328,6780,1868,1733,6730,2410,10,15,970,2810,15,5,60
9330185.15,CT,Surrey,2.6243,5867,1731,1611,5855,1805,25,20,865,2675,5,0,65
9330185.16,CT,Surrey,2.60928,4968,1347,1263,4960,1455,20,15,710,2335,15,0,40
9330185.17,CT,Surrey,1.04321,3520,1366,1317,3520,2530,35,155,250,380,0,5,15
9330185.18,CT,Surrey,1.68416,5295,1525,1460,5295,2425,15,100,735,1670,5,10,10
9330185.19,CT,Surrey,0.67403,5975,1985,1895,5970,2565,105,280,810,1735,20,5,70
9330185.20,CT,Surrey,0.67359,5166,1411,1340,5170,1495,5,25,835,2395,10,0,45
9330185.21,CT,Surrey,0.66837,3845,1334,1266,3845,1520,20,80,415,1415,5,0,40
9330185.22,CT,Surrey,0.67219,3771,1091,950,3770,705,5,0,625,2130,10,0,15
9330186.01,CT,Surrey,1.98406,7494,2462,2301,7470,4005,25,60,845,1610,25,5,100
9330186.02,CT,Surrey,1.91099,6106,2120,1964,6065,3270,40,10,720,1415,15,5,70
9330186.05,CT,Surrey,1.25138,7592,2374,2247,7595,3100,35,15,1055,2475,15,15,120
9330186.06,CT,Surrey,1.28219,4206,1174,1096,4205,1330,5,5,645,1875,10,0,15
9330186.07,CT,Surrey,1.31071,5886,1583,1488,5865,1920,15,5,850,2485,20,0,65
9330186.08,CT,Surrey,1.30317,6646,2035,1923,6610,2840,35,65,875,1805,40,10,170
9330187.03,CT,Surrey,2.58115,7767,2430,2262,7760,3805,125,115,985,1665,40,75,225
9330187.04,CT,Surrey,1.22853,1707,462,433,1580,655,15,5,225,460,0,0,40
9330187.05,CT,Surrey,1.30964,7419,2184,1953,7410,2445,55,35,1145,2940,50,10,130
9330187.06,CT,Surrey,2.59674,6970,2183,2065,6775,3885,145,240,865,695,25,110,135
9330187.07,CT,Surrey,0.66416,2013,602,577,2010,1280,45,115,185,180,0,50,30
9330187.11,CT,Surrey,1.3857,6577,2244,2207,6575,3645,95,405,865,360,25,285,340
9330187.12,CT,Surrey,1.14835,4254,1408,1360,4250,2520,95,140,490,390,15,40,110
9330187.13,CT,Surrey,1.10751,3915,1308,1167,3915,2025,50,135,570,630,25,10,80
9330187.14,CT,Surrey,0.64577,3822,1386,1372,3560,2065,40,325,405,80,10,215,135
9330187.15,CT,Surrey,0.6979,4078,1240,1174,3820,1940,35,385,430,485,5,190,70
9330187.16,CT,Surrey,0.90313,3082,946,910,3080,1935,40,230,280,225,10,95,60
9330188.01,CT,Surrey,3.24027,3094,925,876,3095,1735,50,505,295,75,10,220,20
9330188.02,CT,Surrey,1.06859,3034,921,851,3030,1580,115,425,330,130,0,140,35
9330188.04,CT,Surrey,3.86936,3998,1299,1163,3990,2315,75,185,440,480,20,75,50
9330188.05,CT,Surrey,7.20256,2724,839,783,2725,1715,75,360,210,80,15,120,20
9330188.06,CT,Surrey,4.10375,1484,514,460,1485,1100,5,65,105,65,0,70,5
9330188.07,CT,Surrey,2.71778,4309,1281,1217,4310,2350,100,800,340,70,15,335,45
9330188.08,CT,Surrey,1.2783,3840,1181,1149,3835,2065,100,870,260,50,10,250,15
9330189.03,CT,Surrey,1.58068,3389,1172,1099,3385,2450,45,60,255,110,5,20,125
9330189.05,CT,Surrey,1.34136,8245,3623,3535,8245,4715,110,410,985,115,25,345,445
9330189.06,CT,Surrey,2.4145,3227,1076,1013,3210,1740,55,130,435,190,0,50,165
9330189.07,CT,Surrey,0.82383,3401,1369,1268,3400,2055,55,190,410,30,20,80,205
9330189.08,CT,Surrey,0.67932,7063,2860,2826,7065,3950,40,150,760,15,40,125,320
9330189.09,CT,Surrey,1.32943,4485,1476,1390,4460,2410,125,295,530,360,10,110,120
9330189.10,CT,Surrey,1.30816,6749,2331,2280,6755,3275,165,565,955,165,30,420,460
9330190.01,CT,Surrey,1.47073,8998,4032,3862,8585,5405,180,495,860,170,95,250,265
9330190.03,CT,Surrey,1.93869,6896,2674,2475,6700,3935,110,185,825,255,30,90,335
9330190.04,CT,Surrey,3.05311,6984,2379,2225,6955,4660,65,125,725,340,30,35,160
9330190.05,CT,Surrey,0.60743,1791,693,644,1785,1140,15,40,205,85,0,10,30
9330191.03,CT,Surrey,1.31926,5619,1749,1618,5565,2675,80,90,660,1195,15,5,170
9330191.04,CT,Surrey,1.32867,6927,3788,3247,6875,3915,120,390,695,455,50,135,230
9330191.05,CT,Surrey,1.40808,4036,1422,1246,4020,2260,65,95,425,550,5,10,105
9330191.06,CT,Surrey,0.50094,2701,1224,1134,2480,1495,65,130,270,45,45,75,100
9330191.07,CT,Surrey,0.72545,3929,2238,2054,3895,2390,60,180,375,65,20,135,190
9330192.00,CT,Surrey,13.27929,4194,1523,1347,4110,2545,75,75,405,340,35,10,105
9330200.00,CT,New Westminster,4.05101,8727,3045,2866,8710,5210,370,265,1085,835,35,20,320
9330201.00,CT,New Westminster,0.77643,1752,670,599,1755,1155,25,45,175,160,5,5,80
9330202.00,CT,New Westminster,2.01186,8954,4845,4636,8930,6490,230,505,595,25,40,160,155
9330203.00,CT,New Westminster,1.1241,4838,1792,1708,4815,3610,80,130,345,180,20,15,100
9330204.01,CT,New Westminster,0.40712,4532,2517,2413,4530,3430,50,100,345,20,35,45,65
9330204.02,CT,New Westminster,0.70306,5356,2802,2685,5345,3910,40,135,375,55,55,30,100
9330205.01,CT,New Westminster,0.50609,4329,2540,2430,4275,3225,25,90,260,5,35,65,70
9330205.02,CT,New Westminster,0.62065,5553,3152,3058,5555,3825,80,295,375,20,110,145,65
9330206.00,CT,New Westminster,0.47777,3070,1778,1697,2990,2205,50,135,185,10,20,80,65
9330207.00,CT,New Westminster,0.51433,2447,1505,1435,2375,1960,25,40,100,0,0,30,40
9330208.00,CT,New Westminster,1.67738,6215,2835,2718,6210,5350,30,155,235,40,15,25,50
9330209.00,CT,New Westminster,2.58931,9351,4137,3948,9030,7175,135,250,490,40,55,210,70
9330210.00,CT,New Westminster,2.74387,5872,2617,2515,5710,4625,70,95,290,40,20,85,130
9330220.00,CT,Burnaby,9.86126,1363,483,434,1305,815,110,80,125,45,0,10,15
9330221.01,CT,Burnaby,1.22944,1776,648,615,1775,1310,75,80,135,50,5,10,10
9330221.03,CT,Burnaby,1.29855,3658,1339,1237,3650,2215,270,425,265,120,15,55,70
9330221.04,CT,Burnaby,1.32234,5455,1813,1705,5190,2370,355,1190,500,125,20,80,85
9330222.01,CT,Burnaby,1.55171,7554,2901,2731,7535,3705,830,1140,795,175,45,125,100
9330222.02,CT,Burnaby,1.35949,5771,2620,2553,5770,2835,545,1030,530,20,35,250,70
9330223.01,CT,Burnaby,1.4792,7964,3117,2984,7960,3545,700,1005,1135,85,105,100,365
9330223.02,CT,Burnaby,0.7551,4650,1736,1575,4650,2145,285,240,735,105,145,45,240
9330224.01,CT,Burnaby,0.46568,6607,3325,3198,6610,3105,405,830,730,20,195,250,150
9330224.02,CT,Burnaby,0.69558,4933,2061,1967,4600,2180,350,470,440,55,125,225,85
9330225.01,CT,Burnaby,1.46988,5844,1962,1840,5835,2940,450,1050,540,120,30,80,60
9330225.02,CT,Burnaby,1.35522,6222,2896,2790,6220,2920,680,935,680,20,55,145,125
9330226.02,CT,Burnaby,1.35014,3921,1586,1413,3900,1945,280,725,390,55,20,45,55
9330226.03,CT,Burnaby,0.73005,7638,4917,3840,7640,2410,895,2155,835,10,115,280,40
9330226.04,CT,Burnaby,0.2875,2600,1306,1229,2600,1110,140,420,300,5,50,85,60
9330227.01,CT,Burnaby,0.27746,5290,2742,2568,5290,1925,240,915,895,5,90,105,345
9330227.02,CT,Burnaby,1.13209,5181,2869,2763,5180,2315,450,860,490,10,85,130,50
9330228.02,CT,Burnaby,0.98048,3734,1306,1195,3730,1985,365,510,385,95,15,10,35
9330228.03,CT,Burnaby,0.32754,4566,2306,2214,4565,1900,395,715,450,5,90,195,65
9330228.04,CT,Burnaby,0.71664,5728,2612,2528,5570,2785,535,830,510,40,45,75,125
9330229.00,CT,Burnaby,3.06625,7140,2901,2705,6950,3990,585,440,830,150,40,40,110
9330230.01,CT,Burnaby,4.4121,5403,1992,1931,5380,3705,215,465,350,45,45,100,35
9330230.02,CT,Burnaby,3.99484,5117,1903,1827,4985,2740,425,285,605,65,45,45,240
9330231.00,CT,Burnaby,2.13725,4036,1430,1314,4035,2400,235,605,360,100,30,45,45
9330232.00,CT,Burnaby,3.07193,3241,1106,1043,3230,1900,230,285,295,95,10,45,35
9330233.00,CT,Burnaby,1.51033,7615,2475,2350,7470,3885,500,555,910,585,65,65,155
9330234.00,CT,Burnaby,4.59863,7271,2329,2209,6975,4500,400,400,510,170,60,215,60
9330235.02,CT,Burnaby,1.42513,4693,1787,1737,4695,3295,215,290,325,5,20,155,60
9330235.03,CT,Burnaby,0.42965,4003,2291,2207,4005,2005,125,385,315,5,175,625,30
9330235.04,CT,Burnaby,1.05686,6603,3046,3000,6600,3795,360,505,610,10,135,445,55
9330236.00,CT,Burnaby,4.2145,3609,1217,1159,3610,2435,305,335,250,45,15,35,5
9330237.00,CT,Burnaby,2.53994,7700,3045,2957,7700,4710,675,615,635,30,135,210,35
9330238.01,CT,Burnaby,1.23015,3576,1360,1284,3580,2125,440,290,260,5,45,105,40
9330238.02,CT,Burnaby,2.32296,7098,2535,2393,6980,4215,705,775,540,25,50,85,30
9330239.01,CT,Burnaby,1.56364,5742,2153,2012,5720,3695,735,355,405,15,10,35,25
9330239.02,CT,Burnaby,0.79017,5233,2672,2620,5235,3170,370,425,425,10,140,180,20
9330240.01,CT,Burnaby,2.1982,8999,4433,4249,8995,5705,820,485,670,40,145,325,50
9330240.02,CT,Burnaby,0.8865,5441,2310,2122,5440,3355,810,175,470,35,20,35,30
9330241.00,CT,Burnaby,1.90721,7569,3168,3011,7570,5675,625,130,480,25,60,15,40
9330242.00,CT,Burnaby,4.61235,7388,3135,2952,7390,5005,600,575,490,50,65,50,30
9330243.01,CT,Burnaby,1.70238,6127,2378,2205,6125,3645,635,790,445,20,45,90,20
9330243.02,CT,Burnaby,13.63981,8696,3819,3535,8700,5670,320,1080,615,10,45,180,5
9330250.01,CT,Bowen Island,50.53494,3680,1915,1495,3680,3535,0,5,40,0,0,10,0
9330250.02,CT,Greater Vancouver A,884.09899,4303,1862,1486,4305,3760,10,135,130,0,30,45,10
9330251.01,CT,Barnston Island 3,0.58363,49,16,15,F,F,F,F,F,F,F,F,F
9330251.02,CT,Greater Vancouver A,7.7697,127,53,44,125,110,5,5,10,0,0,0,0
9330260.04,CT,Port Moody,1.18532,3842,1379,1337,3840,3130,40,80,200,10,50,65,15
9330260.05,CT,Port Moody,3.08933,4044,1523,1498,4045,3405,20,70,170,5,60,20,5
9330260.06,CT,Port Moody,2.5836,3993,1482,1417,3990,3320,25,160,125,0,75,155,5
9330260.07,CT,Port Moody,1.08834,5011,2188,2173,4935,3910,40,50,225,0,145,210,15
9330260.08,CT,Port Moody,3.43936,7503,2409,2353,7505,5495,205,575,360,5,105,365,15
9330260.10,CT,Port Moody,0.29231,3988,2027,1983,3990,2925,55,80,210,5,125,335,0
9330260.11,CT,Port Moody,11.32576,191,82,75,190,180,0,0,5,0,0,0,0
9330260.12,CT,Port Moody,3.37056,4979,2228,2140,4970,4045,55,95,235,0,110,75,30
9330270.00,CT,Coquitlam,6.02423,0,1,0,x,x,x,x,x,x,x,x,x
9330280.01,CT,Coquitlam 1,0.02195,54,25,22,55,55,0,0,0,0,0,0,0
9330280.02,CT,Coquitlam,4.76644,3461,1090,1071,3230,2255,170,245,185,5,50,150,10
9330281.01,CT,Coquitlam,2.21131,6298,2235,2111,6300,4685,250,220,400,55,80,225,40
9330281.02,CT,Coquitlam,2.61469,6383,2540,2389,6370,5040,135,135,340,45,85,155,45
9330282.01,CT,Coquitlam,1.42053,4220,1723,1606,4210,2640,145,230,425,50,75,225,100
9330282.02,CT,Coquitlam,1.315,4372,1807,1764,4295,3020,85,145,315,15,80,185,95
9330283.00,CT,Coquitlam,2.19819,7879,3454,3247,7600,4260,265,555,670,30,275,860,105
9330284.01,CT,Coquitlam,2.14971,7165,3086,2870,7155,3925,240,465,625,10,270,585,65
9330284.02,CT,Coquitlam,2.09349,7731,3467,3018,7725,5040,330,565,530,55,120,420,30
9330285.01,CT,Coquitlam,0.66004,3341,1925,1852,3330,2320,25,70,215,0,100,220,65
9330285.02,CT,Coquitlam,2.24866,5778,1964,1856,5615,4185,150,385,355,20,50,170,25
9330286.01,CT,Coquitlam,4.1793,5828,2032,1921,5830,4430,160,355,285,45,55,165,20
9330286.02,CT,Coquitlam,3.12762,7932,2729,2666,7925,5835,220,315,560,10,205,70,60
9330286.03,CT,Coquitlam,2.72333,3966,1371,1342,3965,3435,55,115,145,5,15,50,10
9330287.01,CT,Coquitlam,1.95086,8911,3237,3137,8910,5390,540,860,700,10,330,320,100
9330287.02,CT,Coquitlam,61.05588,12116,3893,3766,12115,7985,565,1295,790,55,215,430,35
9330287.06,CT,Coquitlam,1.17492,4556,1662,1621,4415,2450,280,530,410,10,255,85,65
9330287.09,CT,Coquitlam,0.59835,6277,3588,3162,6280,2780,315,755,585,5,740,635,40
9330287.10,CT,Coquitlam,1.19951,2804,872,845,2805,1620,205,275,200,5,240,75,5
9330287.11,CT,Coquitlam,1.89774,5287,1801,1767,5280,3755,235,285,335,10,190,135,20
9330287.12,CT,Coquitlam,1.11049,4020,1412,1348,4020,2155,330,370,325,0,220,355,25
9330287.13,CT,Coquitlam,2.24543,8618,3071,2912,8615,3850,715,1345,775,25,495,690,50
9330287.14,CT,Coquitlam,18.49039,4334,1454,1375,4330,2395,270,470,405,15,300,150,10
9330287.15,CT,Coquitlam,1.44328,3984,1708,1677,3985,2320,280,380,350,5,190,170,35
9330287.16,CT,Coquitlam,0.79846,4023,2271,2002,4025,2030,275,320,355,10,375,325,25
9330290.02,CT,Port Coquitlam,5.06112,8999,4579,4266,8820,6815,170,100,555,10,170,190,125
9330290.04,CT,Port Coquitlam,7.67739,7296,2531,2504,7300,5810,370,150,340,25,75,190,20
9330290.05,CT,Port Coquitlam,1.81386,3403,1186,1144,3400,2810,95,40,165,5,60,15,15
9330290.06,CT,Coquitlam 2,0.82455,0,0,0,x,x,x,x,x,x,x,x,x
9330290.07,CT,Port Coquitlam,2.51108,6308,2219,2129,6290,5050,130,80,355,15,65,60,60
9330291.01,CT,Port Coquitlam,2.30451,7659,3179,3087,7605,5470,205,315,565,80,125,125,105
9330291.02,CT,Port Coquitlam,3.13546,8272,3032,2952,8240,6380,175,200,500,165,115,85,100
9330292.01,CT,Port Coquitlam,2.10616,5387,1878,1826,5390,4625,90,80,170,30,60,35,20
9330292.03,CT,Port Coquitlam,3.20779,6423,2086,2070,6410,4720,285,165,410,60,60,190,70
9330292.04,CT,Port Coquitlam,5.90482,4865,1896,1775,4865,3770,175,100,270,110,45,105,25
9330400.04,CT,Maple Ridge,12.77745,7273,2346,2264,7275,6495,35,60,190,60,20,85,20
9330400.05,CT,Maple Ridge,6.19206,7028,2501,2424,7030,6370,15,65,190,35,50,45,10
9330400.06,CT,Maple Ridge,1.46232,4449,1420,1378,4445,3930,30,45,145,45,30,35,15
9330400.07,CT,Langley 5,1.30383,0,0,0,x,x,x,x,x,x,x,x,x
9330400.08,CT,Whonnock 1,0.38846,0,1,0,x,x,x,x,x,x,x,x,x
9330400.09,CT,Maple Ridge,39.40203,5083,1843,1725,5065,4645,15,50,105,20,35,45,20
9330401.01,CT,Maple Ridge,1.45407,3026,1367,1299,2800,2520,5,15,95,10,10,15,15
9330401.02,CT,Maple Ridge,3.56358,8088,4031,3871,7910,7105,45,50,245,65,30,40,55
9330402.02,CT,Maple Ridge,3.01936,5344,1981,1955,5160,4770,10,20,110,30,20,35,10
9330402.03,CT,Maple Ridge,1.3191,4641,2390,2284,4640,4175,5,20,145,15,30,35,35
9330402.04,CT,Maple Ridge,1.79626,4095,1569,1505,4085,3745,10,45,110,10,10,20,35
9330403.01,CT,Maple Ridge,2.84812,5401,2050,1970,5220,4830,10,25,140,25,10,10,15
9330403.04,CT,Maple Ridge,5.0577,4546,1661,1628,4535,4170,5,25,115,30,15,20,10
9330403.05,CT,Maple Ridge,1.87448,4668,1638,1615,4655,4060,15,45,160,95,40,70,25
9330403.06,CT,Katzie 1,0.4239,262,83,67,265,260,0,0,0,0,0,0,0
9330403.07,CT,Maple Ridge,3.91256,5288,2004,1967,5270,4780,10,5,150,85,15,15,20
9330404.01,CT,Maple Ridge,35.63382,6612,2328,2227,6485,5820,15,105,175,45,25,55,10
9330404.02,CT,Maple Ridge,164.19709,6714,2271,2150,6710,6065,35,85,155,30,40,55,10
9330410.02,CT,Pitt Meadows,26.88619,7327,3036,2985,7325,6290,50,30,340,120,60,70,35
9330410.04,CT,Pitt Meadows,64.70741,1385,620,587,1385,1185,10,5,50,55,10,25,0
9330410.05,CT,Pitt Meadows,1.67128,5157,2068,2009,5150,4570,25,40,205,40,15,30,65
9330410.06,CT,Pitt Meadows,2.72199,4704,1632,1613,4705,4255,35,35,115,20,30,40,35
9330500.01,CT,Matsqui 4,0.28012,471,286,285,475,470,0,0,0,0,0,0,0
9330500.02,CT,Langley,72.39537,5878,2347,2187,5875,5425,0,15,125,170,0,10,5
9330501.01,CT,Langley,19.75286,4121,1602,1534,3900,3550,5,35,80,110,0,30,0
9330501.02,CT,Langley,19.03379,5482,1968,1921,5440,5240,10,5,75,20,0,15,0
9330501.03,CT,Langley,23.2834,3393,1139,1094,3380,3050,0,30,85,75,0,5,5
9330502.01,CT,Langley,1.49035,2445,942,895,2445,2380,0,10,15,5,0,0,5
9330502.02,CT,Langley,9.78032,3823,1659,1595,3795,3560,0,25,70,60,5,10,0
9330502.03,CT,Langley,2.61531,4858,1721,1651,4835,4635,0,15,65,10,0,5,5
9330502.05,CT,Langley,33.50867,2979,1138,1061,2965,2720,0,25,90,45,0,20,0
9330502.06,CT,Langley,3.38708,3001,995,959,3000,2805,5,25,40,35,0,15,5
9330502.07,CT,Langley,3.15447,5654,2257,2221,5605,5335,0,50,70,5,0,30,0
9330503.01,CT,Langley,1.09494,2451,872,840,2445,2345,0,10,20,10,0,0,0
9330503.03,CT,Langley,3.607,7071,2551,2461,7065,6700,15,25,115,30,10,10,10
9330503.06,CT,Langley,0.58699,4402,2364,2217,4365,3735,15,30,190,20,10,65,45
9330503.07,CT,Langley,0.84511,4573,2732,2675,4370,3860,5,15,120,10,10,40,15
9330503.08,CT,Langley,2.50531,4674,2500,2428,4655,4050,25,30,170,15,15,90,30
9330503.09,CT,Langley,1.58264,2717,1245,1219,2615,2265,5,20,90,5,0,25,20
9330504.03,CT,Langley,15.17754,6300,2226,2148,6305,5825,10,85,130,35,10,55,10
9330504.05,CT,Langley,3.82717,7784,2911,2832,7460,6360,30,310,180,10,10,305,20
9330504.07,CT,Langley,0.84364,3165,1324,1318,3165,2805,5,80,75,0,0,95,5
9330504.08,CT,Langley,1.22552,4171,1556,1546,4170,3615,10,170,140,5,0,120,10
9330504.09,CT,Langley,3.50246,5378,1668,1581,5380,4160,20,175,330,150,25,185,50
9330504.10,CT,Langley,1.13484,4025,1597,1574,4025,3585,25,40,130,25,15,40,30
9330504.11,CT,Langley,11.6295,13080,4977,4694,13080,10130,80,450,660,100,25,945,40
9330504.12,CT,Langley,3.97579,5135,1614,1555,5120,3745,25,245,370,110,10,320,75
9330504.13,CT,Langley,1.6693,3949,1602,1572,3950,3300,15,90,190,5,15,155,25
9330504.14,CT,Katzie 2,0.30729,40,15,15,40,40,0,0,0,0,0,0,0
9330504.15,CT,Langley,4.95317,1871,746,724,1870,1770,0,25,40,5,0,5,0
9330505.01,CT,Langley,5.2577,3442,1354,1279,3350,3265,5,5,25,0,5,10,0
9330505.03,CT,McMillan Island 6,1.78376,94,32,32,95,95,0,0,5,0,0,0,0
9330505.04,CT,Langley,63.85902,5988,2007,1893,5940,5345,10,70,105,110,5,70,15
9330506.01,CT,Langley,3.07029,4094,1538,1484,4090,3685,5,0,120,100,0,15,5
9330506.02,CT,Langley,6.23561,7269,2832,2664,7175,6405,15,15,205,200,10,10,5
